request_id;img_width;img_height;total_client_time_ms;client_read_time_ms;client_serialize_time_ms;send_time_ms;client_exec_time_ms;client_deserialize_time_ms;sla_ms;pipeline_demanda;node_cpu_free_pct;node_mem_free_pct;node_health_score;k1_total_ms;k1_wasm_ms;k1_network_receive_ms;k1_network_send_ms;k2_total_ms;k2_wasm_ms;k2_network_receive_ms;k2_network_send_ms;k3_total_ms;k3_wasm_ms;k3_network_receive_ms;k3_network_send_ms;Environment;usage
118;1024;1024;803.032151;2.498;31.787;12.393;680.284;70.675;15;2|3;46.26;28.99;75.25;;;;;468.0;317.0;88.0;60.0;284.0;40.0;142.0;100.0;Cloud;50%
119;1024;1024;1022.956064;2.259;31.656;16.183;893.841;73.554;15;1|2|3;46.74;28.86;75.59;218.0;43.0;107.0;66.0;535.0;323.0;134.0;76.0;296.0;41.0;157.0;97.0;Cloud;50%
120;1920;1920;1230.485075;9.645;111.563;52.805;851.99;188.734;15;1;47.31;28.8;76.11;904.0;171.0;381.0;349.0;;;;;;;;;Cloud;50%
121;1920;1920;2101.017397;10.776;110.273;43.714;1763.02;155.698;15;2;47.77;28.78;76.55;;;;;1806.0;1173.0;363.0;267.0;;;;;Cloud;50%
122;1920;1920;1168.287718;9.872;111.055;47.07;815.679;167.042;15;3;47.07;28.34;75.42;;;;;;;;;862.0;176.0;364.0;318.0;Cloud;50%
123;1920;1920;2873.0893819999997;9.922;111.451;56.506;2519.118;158.165;15;1|2;45.67;28.2;73.88;793.0;162.0;360.0;269.0;2050.0;1175.0;564.0;309.0;;;;;Cloud;50%
124;1920;1920;1942.700614;9.736;111.702;52.587;1588.832;161.618;15;1|3;46.44;28.19;74.63;818.0;157.0;354.0;304.0;;;;;1126.0;194.0;598.0;332.0;Cloud;50%
125;1920;1920;2903.416823;9.892;111.055;58.143;2519.206;187.408;15;2|3;47.7;28.19;75.89;;;;;1769.0;1181.0;367.0;218.0;1025.0;155.0;502.0;366.0;Cloud;50%
126;1920;1920;3638.589657;9.796;111.417;52.244;3262.852;184.126;15;1|2|3;46.12;28.16;74.29;784.0;169.0;363.0;251.0;1929.0;1123.0;558.0;245.0;1096.0;197.0;522.0;375.0;Cloud;50%
127;3840;2160;2517.41503;20.593;238.439;100.762;1777.087;342.404;15;1;47.49;28.15;75.63;1877.0;384.0;746.0;744.0;;;;;;;;;Cloud;50%
128;3840;2160;4628.718235;20.822;232.296;102.118;3932.349;299.23;15;2;46.03;27.9;73.93;;;;;4033.0;2629.0;767.0;635.0;;;;;Cloud;50%
129;3840;2160;2419.942698;20.71;232.081;99.168;1673.208;342.602;15;3;46.79;27.76;74.55;;;;;;;;;1771.0;363.0;742.0;664.0;Cloud;50%
130;3840;2160;6094.662007;21.086;234.101;116.863;5376.147;294.987;15;1|2;46.1;27.42;73.51;1736.0;377.0;774.0;582.0;4338.0;2568.0;1184.0;583.0;;;;;Cloud;50%
131;3840;2160;4002.698206;20.74;232.284;105.573;3249.823;354.439;15;1|3;46.37;27.42;73.79;1668.0;368.0;737.0;562.0;;;;;2247.0;372.0;1208.0;665.0;Cloud;50%
132;3840;2160;5914.098121;20.825;235.1;93.706;5115.464;399.651;15;2|3;44.98;27.36;72.35;;;;;3793.0;2557.0;727.0;507.0;1922.0;325.0;977.0;618.0;Cloud;50%
133;3840;2160;7599.573388;21.064;233.88;97.111;6800.119;405.149;15;1|2|3;46.19;27.26;73.45;1654.0;369.0;721.0;561.0;4226.0;2553.0;1164.0;507.0;2084.0;317.0;1032.0;732.0;Cloud;50%
134;224;224;23.446737;0.157;1.55;0.863;10.78;2.067;15;1;46.73;27.22;73.95;11.0;1.0;4.0;4.0;;;;;;;;;Cloud;50%
135;224;224;28.209245;0.157;1.565;0.794;22.778;2.301;15;2;46.73;27.22;73.95;;;;;22.0;13.0;4.0;4.0;;;;;Cloud;50%
136;224;224;22.834747999999998;0.151;1.551;0.821;17.534;2.181;15;3;47.95;27.25;75.2;;;;;;;;;17.0;2.0;7.0;6.0;Cloud;50%
137;224;224;43.781735000000005;0.168;1.644;0.867;38.605;1.939;15;1|2;47.35;27.22;74.56;10.0;1.0;4.0;3.0;31.0;16.0;7.0;5.0;;;;;Cloud;50%
138;224;224;30.92315;0.151;1.574;0.962;25.53;2.082;15;1|3;46.74;27.22;73.97;12.0;2.0;6.0;3.0;;;;;15.0;2.0;6.0;6.0;Cloud;50%
139;224;224;48.537735;0.167;1.541;0.59;43.104;2.603;15;2|3;47.63;27.23;74.86;;;;;28.0;16.0;7.0;3.0;17.0;2.0;7.0;6.0;Cloud;50%
